rawData	tokens	sentiment	Category
Because: Putin only grabs territory when the oil price soars. Trump got America OFF Russian oil AND the oil price DOWN. He could have safely withdrawn US troops from Ukraine and Putin would have done nothing. https://t.co/DZsiGKIHSU	putin grab territory oil price soar trump got america oil oil price safely withdrawn u troop ukraine putin done nothing	0.4939	Neutral
Beeindruckend war es schon! Ein gutes Zeichen für den #Frieden hat #Hamburg heute gesetzt. #hh0503 #StandWithUkraine @fegebanks hat eindringliche Worte gefunden. Bischöfin #Fehrs fand intensive Worte! #Hoffnungsstur bleiben! #Ukraine https://t.co/kkpTemCL02	beeindruckend war e schon ein gutes zeichen fr den frieden hat hamburg heute gesetzt hh standwithukraine hat eindringliche worte gefunden bischfin fehrs fand intensive worte hoffnungsstur bleiben ukraine	-0.5994	Negative
Been a long time subscriber to the #Economnist
Been nice to not have had to have this Talk at all!	nice talk	0.4215	Neutral
Been pondering. If we genuinely thought the Russians might invade Ukraine we would be concentrating our very small military and preparing them. But we still have troops around the world on exercise and a Battalion is about to go to Kenya. Not much left in the Army’s combat locker	pondering genuinely thought russian invade ukraine concentrating small military preparing still troop around world exercise battalion go kenya much left army combat locker	-0.4767	Neutral
Been remembering summer 2008 a lot recently. Especially when as a senior Russia ground forces analyst for EUCOM I talked a lot with our Russia foreign policy analysts. And we decided in July 2008 that Russia would soon invade Georgia. People mocked us
Been saying this from the Get Go. If Russia doesn't invade Ukraine
Before Zelinski became Ukraine's Pres.
Before it happens
Before someone comes here to say I'm supporting Putin. It's morally abhorrent for Putin to invade Ukraine
Before the Viet Nam war
Behaviour of the Georgian government is simply shameful.	behaviour georgian government simply shameful	-0.4939	Neutral
Behind the scenes is not what you think. Nazis are Nazis Russian troops joined forces with America in WW2. Be sure to know your enemies study the facts well. It isn’t Russia trying to lick down the World 🌎 or profit off the extermination of human lives. https://t.co/8l82qXy7gD	behind scene think nazi nazi troop joined force america ww sure know enemy study fact well isnt russia trying lick world profit extermination human life	0.4767	Neutral
Bei @ARTEde sagt dr. stefan meister
Bei der Stadt gemeldet
Beijing's Foreign Minister said that Ukraine had the right to safeguard its sovereignty
Being I have fought in few wars  I can say if USA gets involved. The war will not Be limited to Ukraine . The USA will be attacked from within our own borders too. China / Russia / Iran have teamed up . Haven’t heard anything about NATO standing up ?	fought war say usa get involved war limited ukraine usa attacked within border china russia iran teamed havent heard anything nato standing	-0.9029	Negative
Being far away from home it makes me so happy to see these pictures ... thank you #Berlin! #standWithUkraine https://t.co/5Ic5fVrrQ2	far away home make happy see picture thank berlin standwithukraine	0.8042	Positive
Bekomme Tiktoks geschickt die mir den Konflikt zwischen Ukraine und Russland erklären.	bekomme tiktoks geschickt die mir den konflikt zwischen ukraine und russland erklren	-0.5994	Negative
Belarus	belarus	0.0	Neutral
